3184;Lutheran Child and Family Services;Lutherwood Residential Treatment;1525 North Ritter Avenue;Indianapolis, IN 46219;(317) 359-5467x320;Intake: (317) 359-5467x201;;;
3185;Options Behavioral Systems;5602 Caito Drive;Indianapolis, IN 46226;(844) 622-5093;;;;;
3186;Resolute Treatment Center;320 North Tibbs Avenue;Indianapolis, IN 46222;(317) 630-5215;;;;;
3187;Resource Treatment Center;1404 South State Avenue;Indianapolis, IN 46203;(317) 783-4003;;;;;
3188;Richard L Roudebush VAMC;Mental Health Services (116A);1481 West 10th Street;Indianapolis, IN 46202;(317) 988-2906;Intakes: (317) 988-2338 (317) 988-2770;;;
3189;Volunteers of America of Indiana Inc;927 North Pennsylvania Street;Indianapolis, IN 46204;(317) 686-5800x1888;Intake: (844) 455-4673;;;;
3190;Warren Outpatient;2040 Shadeland Avenue;2nd Floor;Indianapolis, IN 46219;(317) 355-1800;Intake: (866) 621-5719;;;
3191;Memorial Hospital and Healthcare Ctr;Behavioral Health;800 West 9th Street;Jasper, IN 47546;(812) 996-2345x0437;Intake: (812) 996-5780;;;
3192;Southern Hills Counseling Center Inc;Dubois County Services;480 Eversman Drive;Jasper, IN 47546;(812) 482-3020;Intake: (812) 482-4020;;;
3193;Clark Memorial Hospital;Behavioral Health Services;1220 Missouri Avenue;Jeffersonville, IN 47130;(812) 283-2718;Intakes: (812) 283-2742 (502) 718-2316;;;
3194;LifeSpring Inc;DBA LifeSpring Health Systems;404 Spring Street;Jeffersonville, IN 47130;(812) 280-2080;Intake: (812) 206-1416;;;
3195;Lifespring Inc;Integrated Treatment Center;1060 Sharon Drive;Jeffersonville, IN 47130;(812) 280-6606;;;;
3196;Wellstone Regional Hospital;2700 Vissing Park Road;Jeffersonville, IN 47130;(812) 284-8000x1044;Intakes: (812) 284-8000x7777 (877) 999-;9355;;;
3197;Northeastern Center;Kendallville Outpatient;1930 Dowling Street;Kendallville, IN 46755;(260) 347-4400;;;;
3198;Porter Starke Services Inc;1003 Edgewood Drive;Knox, IN 46534;(574) 772-4040;Intake: (219) 531-3500;;;;
3199;Community Howard Regional Health;Behavioral Health Inpatient;3500 South Lafountain Street;Kokomo, IN 46902;(765) 453-8555;;;;
3200;Community Howard Regional Health;CHRH Behavioral Health;322 North Main Street;Kokomo, IN 46901;(765) 453-8555;;;;
3201;Community Howard Regional Health Inc;Frances House;3322 Frances Lane;Frances House;Kokomo, IN 46902;(765) 453-8555;;;
3202;St Josephs Hosp DBA St Vincent Kokomo;Behavioral Services/Trinity House;1907 West Sycamore Street;Kokomo, IN 46901;(765) 456-5900;;;;
3203;Midwest Center for Youth and Families;1012 West Indiana Street;Kouts, IN 46347;(219) 766-2999;Intake: (888) 629-3471;;;;
3204;La Porte County Comp MH Council Inc;Swanson Center Outpatient;1230 West State Road 2;Suite B;La Porte, IN 46350;(219) 362-2145;Intake: (219) 362-2146;;
3205;Franciscan Saint Elizabeth Health;Lafayette Central;1501 Hartford Street;Lafayette, IN 47904;(765) 423-6011;Intake: (765) 423-6762;;;
3206;Sycamore Springs LLC;833 Park East Boulevard;Lafayette, IN 47905;(765) 743-4400;;;;;
3207;Wabash Valley Alliance Inc;415 North 26th Street;Suite 101;Lafayette, IN 47904;(765) 446-6400x1;;;;
3208;Wabash Valley Alliance Inc;Assertive Community Treatment;610 Main Street;Lafayette, IN 47901;(765) 428-2300;;;;
3209;Wabash Valley Alliance Inc;Clubhouse;3415 Union Street;Lafayette, IN 47905;(765) 446-3764;Intake: (765) 447-1312;;;
3210;Wabash Valley Alliance Inc;Comm Support Prog/Valley Enterprises;217 Farabee Drive North;Lafayette, IN 47905;(765) 447-1312;;;;
3211;Wabash Valley Alliance Inc;Outpatient Service;610 Main Street;Lafayette, IN 47901;(765) 423-2638;Intake: (765) 428-2227;;;
3212;Northeastern Center Inc;Lagrange County Office (OP);2155 North State Road 9;Lagrange, IN 46761;(260) 463-7144;Intake: (260) 463-7145;;;
3213;Otis R Bowen Center;836 North Detroit Street;Lagrange, IN 46761;(260) 499-3019x3910;;;;;
3214;Community Mental Health Center Inc;283 Bielby Road;Lawrenceburg, IN 47025;(812) 537-1302;;;;;
3215;Community Mental Health Center Inc;285 Bielby Road;Lawrenceburg, IN 47025;(812) 537-1302;;;;;
3216;Community Mental Health Center Inc;710 Eads Parkway;Lawrenceburg, IN 47025;(812) 537-1302;;;;;
3217;Community Mental Health Center Inc;Ludlow Offices;281 Bielby Road;Lawrenceburg, IN 47025;(812) 537-4378;Intake: (812) 537-1302;;;
3218;Community Mental Health Center Inc;Outpatient Services;427 West Eads Parkway;Dearborn Plaza;Lawrenceburg, IN 47025;(812) 537-7375;Intake: (812) 537-1302;;
3219;Dearborn County CBOC;1600 Flossie Drive;Lawrenceburg, IN 47025;(812) 532-2538;;;;;
3220;Aspire Indiana Inc;602 Ransdell Road;Lebanon, IN 46052;(765) 482-7100;Intakes: (765) 608-5598 (877) 574-1254;;;;
3221;Cummins Behavioral Health Systems Inc;Boone County;940 Lasley Drive;Lebanon, IN 46052;(888) 714-1927;Intake: (765) 482-7421x2913;;;
3222;Families First;396 North Mount Zion Road;Lebanon, IN 46052;(765) 482-6396;Intake: (317) 634-6341;;;;
3223;Witham Memorial Hospital;Witham Health Services;2605 North Lebanon Street;Lebanon, IN 46052;(765) 485-8000;Intake: (765) 485-8700;;;
3224;Hamilton Center Inc;Linton Office;County Road 1000 West Lonetree;Linton, IN 47441;(812) 847-4435;Intake: (800) 742-0787;;;
3225;Good Samaritan Hospital;Samaritan Center;200 South JFK Avenue;Loogootee, IN 47553;(812) 295-3090;Intake: (812) 886-6800;;;
3226;Centerstone of Indiana Inc;Outpatient Office;3008 North Bevcher Drive;Madison, IN 47250;(812) 265-1918;Intake: (800) 344-8802;;;
3227;James Wortham Counseling Services;975 Industrial Drive;Suite 1;Madison, IN 47250;(888) 642-5739;;;;
3228;LifeSpring Inc;Jefferson County Office;1405 Bear Street;Madison, IN 47250;(812) 265-4513;;;;
3229;Madison State Hospital;711 Green Road;Madison, IN 47250;(812) 265-2611x7271;Intake: (812) 265-7316;;;;
3230;Grant Blackford Mental Health Inc;Community Support Program;206 West 8th Street;Marion, IN 46953;(765) 664-7792;Intakes: (765) 662-3971 (800) 755-3469;;;
3231;Grant Blackford Mental Health Inc;Cornerstone Behavioral Health;505 North Wabash Avenue;Marion, IN 46952;(765) 662-3971;Intake: (800) 755-3469;;;
3232;VA Northern Indiana Healthcare System;1700 East 38th Street;Marion, IN 46953;(765) 674-3321x73402;Intakes: (765) 674-3321x73295 (765) 674-;3321x73579;;;
3233;Centerstone of Indiana Inc;Outpatient Office;1175 Southview Drive;Martinsville, IN 46151;(765) 343-6950;Intake: (800) 344-8802;;;
3234;Martinsville CBOC;2200 John R Wooden Drive;Martinsville, IN 46151;(317) 988-1772;Intakes: (317) 988-0147 (317) 988-4498;;;;
3235;Regional Mental Health Center;Merrillville Outpatient Services;1441 East 84th Place;Merrillville, IN 46410;(219) 794-2000;Intake: (219) 736-7200;;;
3236;Southlake Mental Health Center Inc;DBA Regional Mental Health Center;8555 Taft Street;Strawhun Building;Merrillville, IN 46410;(219) 769-4005;Intake: (219) 736-7200;;
3237;Franciscan Saint Anthony Michigan City;Psychiatric Services;301 West Homer Street;Michigan City, IN 46360;(219) 878-8830;Intakes: (219) 878-8380 (800) 491-8888;;;
3238;La Porte County Comp MH Council Inc;Swanson Center;7224 West 400 North;Michigan City, IN 46360;(219) 879-4621;Intakes: (219) 879-0676 (219) 873-2381;;;
3239;Wabash Valley Alliance Inc;Outpatient Service;920 Executive Drive;Monticello, IN 47960;(574) 583-9350;;;;
3240;Centerstone of Indiana Inc;Outpatient Office;11370 North State Road 67;Mooresville, IN 46158;(765) 343-6950;Intake: (800) 344-8802;;;
3241;Southwestern Behavioral Healthcare Inc;Posey Regional Services;100 Vista Drive;Mount Vernon, IN 47620;(812) 838-6558;Intake: (812) 423-7791;;;
3242;Ball Memorial Hospital;2401 West University Avenue;Muncie, IN 47303;(765) 747-3111;;;;;
3243;Geropsychiatric Services;Meridian Health Services;2401 West University Avenue;3rd Floor;Muncie, IN 47304;(765) 747-4409;;;
3244;Gresham Center;3620 West White River Boulevard;Muncie, IN 47304;(765) 288-1928;Intake: (866) 306-2647;;;;
3245;Meridian Services Corp;1944 West 8th Street;Muncie, IN 47302;(765) 288-1928;;;;;
3246;VA Northern Indiana Healthcare System;Muncie CBOC;2600 West White River Boulevard;Muncie, IN 47303;(765) 284-6822;;;;
3247;Youth Opportunity Center;3700 West Kilgore Avenue;Muncie, IN 47304;(765) 289-5437;;;;;
3248;Confidential Care Ltd;720 45th Avenue;Munster, IN 46321;(219) 934-6410x219;Intake: (219) 934-6410x203;;;;
3249;Centerstone of Indiana Inc;Outpatient Office;91 West Mound Street;Nashville, IN 47448;(812) 200-2685;Intake: (800) 344-8802;;;
3250;Family Childrens Place;New Albany Office;2818 Grant Line Road;New Albany, IN 47150;(502) 893-3900x513;Intakes: (502) 893-3900x275 (812) 944-;6120;;
3251;LifeSpring Inc;Floyd County Office;2820 Grant Line Road;Suite 10;New Albany, IN 47150;(812) 981-2594;;;
3252;Louisville VAMC;VA Healthcare Center/New Albany;811 Northgate Boulevard;New Albany, IN 47150;(502) 287-4100;Intake: (502) 287-4000;;;
3253;Centerstone of Indiana Inc;Foster Care Select;3337 South State Road 3;New Castle, IN 47362;(765) 521-3010;Intake: (800) 344-8802;;;
3254;Aspire Indiana Inc;17840 Cumberland Road;Noblesville, IN 46060;(317) 773-6864;Intakes: (765) 608-5598 (877) 574-1254;;;;
3255;Centerstone of Indiana Inc;Aspen House;299 West Hayden Pike;North Vernon, IN 47265;(812) 346-7892;Intake: (800) 344-8802;;;
3256;Centerstone of Indiana Inc;Outpatient Office;1260 East Buckeye Street;North Vernon, IN 47265;(812) 346-4468;Intake: (800) 344-8802;;;
3257;Wabash Valley Alliance;606 Limerick lane;Otterbein, IN 47970;(765) 583-0186;;;;;
3258;Southern Hills Counseling Center;488 West Hospital Road;Paoli, IN 47454;(812) 723-4301;;;;;
3259;VA Northern Indiana Healthcare System;Peru CBOC;750 North Broadway;Peru, IN 46970;(765) 472-8900;;;;
3260;Good Samaritan Hospital;Samaritan Center;611 Main Street;Suite 110;Petersburg, IN 47567;(812) 354-8785;Intake: (812) 886-6800;;
3261;Hamilton Center Inc;Plainfield Office;900 Southfield Drive;Plainfield, IN 46168;(317) 837-9719;Intake: (800) 742-0787;;;
3262;Brighter Tomorrows Inc;310 North Michigan Street;Suite 208;Plymouth, IN 46563;(574) 935-9449;;;;
3263;Michiana Behavioral Health;1800 North Oak Drive;Plymouth, IN 46563;(574) 936-3784;Intake: (574) 936-3784x0;;;;
3264;Otis R Bowen Center;925 Dora Lane;Plymouth, IN 46563;(574) 936-9646;;;;;
3265;Otis R Bowen Center for Human Services;700 North Center Street;Plymouth, IN 46563;(574) 267-7169;;;;;
3266;Otis R Bowen Center for Human Services;914 North Center Street;Plymouth, IN 46563;(574) 267-7169;Intakes: (574) 267-7169x3732 (800) 686-;6847;;;
3267;Otis R Bowen Center for Human Services;Plymouth Office;990 Illinois Street;Plymouth, IN 46563;(574) 936-9646;Intake: (800) 342-5653;;;
3268;Otis R Bowen Center for Human Services;Russell House;1525 West Harrison Street;Plymouth, IN 46563;(574) 936-6164;Intakes: (574) 267-7169x3732 (800) 342-;5653;;
3269;Otis R Bowen Center for Human Services;Shady Rest Home;10924 Lincoln Highway;Plymouth, IN 46563;(574) 936-2635;Intakes: (574) 936-7169 (800) 342-5653;;;
3270;Porter Starke Services Inc;3176 Lancer Street;Portage, IN 46368;(219) 762-9557;Intake: (219) 531-3500;;;;
3271;Jay County Hospital;500 West Votaw Street;Portland, IN 47371;(260) 726-1865;;;;;
3272;Meridian Health Services;Jay County Services Department;931 West Water Street;Portland, IN 47371;(260) 726-9348x4324;Intakes: (260) 726-9348 (765) 288-1928;;;
3273;Southwestern Behavioral Healthcare Inc;Gibson Regional Center;310 South 5th Avenue;Princeton, IN 47670;(812) 385-5275;Intake: (812) 423-7791;;;
3274;Wabash Valley Alliance Inc;Outpatient Service;131 West Drexel Parkway;Rensselaer, IN 47978;(219) 866-4194;;;;
3275;Centerstone of Indiana Inc;Community Support Services;54 South 15th Street;Richmond, IN 47374;(765) 983-8105;Intake: (800) 344-8802;;;
3276;Centerstone of Indiana Inc;English Manor;1811 South 9th Street;Richmond, IN 47374;(765) 983-8675;Intake: (800) 344-8802;;;
3277;Centerstone of Indiana Inc;Kinsey Transitional Living;301 Kinsey Street;Richmond, IN 47374;(765) 983-8128;Intake: (800) 344-8802;;;
3278;Centerstone of Indiana Inc;Outpatient Office;831 Dillon Drive;Richmond, IN 47374;(765) 983-8000;Intake: (800) 344-8802;;;
3279;Centerstone of Indiana Inc;Pierson House;76 South 14th Street;Richmond, IN 47374;(765) 983-8128;Intake: (800) 344-8802;;;
3280;Centerstone of Indiana Inc;Samuel Gaar Resource Center;200 North 13th Street;Richmond, IN 47374;(765) 983-8640;Intake: (800) 344-8802;;;
3281;Centerstone of Indiana Inc;Serenity House;115 North 13th Street;Richmond, IN 47374;(765) 983-8128;Intake: (800) 344-8802;;;
3282;Meridian Health Services;630 East Main Street;Suite 200;Richmond, IN 47374;(765) 983-2220;;;;
3283;Reid Health;1100 Reid Parkway;Richmond, IN 47374;(800) 232-3150;Intakes: (765) 983-3298 (765) 983-3070;;;;
3284;Richmond State Hospital;498 NW 18th Street;Richmond, IN 47374;(765) 966-0511;;;;;
3285;Wernle Youth and Family Treatment Ctr;2000 Wernle Road;Richmond, IN 47374;(765) 966-2506;;;;;
3286;Southern Hills Counseling Center;107 North 2nd Street;Rockport, IN 47635;(812) 649-9168;;;;;
3287;Centerstone of Indiana Inc;Outpatient Office;152 US-52;Rushville, IN 46173;(765) 932-3974;Intake: (800) 344-8802;;;
3288;Meridian Health Services;509 Conrad Harcourt Way;Rushville, IN 46173;(765) 932-3699;;;;;
3289;LifeSpring Inc;Washington County Office;1321 South Jackson Street;Salem, IN 47167;(812) 883-3095;;;;
3290;Campagna Academy;7403 Cline Avenue;Schererville, IN 46375;(219) 322-8614;;;;;
3291;LifeSpring Inc;Scott County Office;75 North 1st Street;Scottsburg, IN 47170;(812) 752-2837;;;;
3292;Centerstone of Indiana Inc;Hillcrest House;1216 North Hillcrest Drive;Seymour, IN 47274;(812) 523-8184;Intake: (800) 344-8802;;;
3293;Centerstone of Indiana Inc;Outpatient Office;1443 Corporate Way;Seymour, IN 47274;(812) 522-4341;Intake: (800) 344-8802;;;
3294;Gallahue Mental Health Services;Shelby County;7 East Hendricks Street;Shelbyville, IN 46176;(317) 392-2564;Intake: (317) 621-5719;;;
3295;Memorial Epworth of South Bend;420 North Niles Avenue;South Bend, IN 46617;(574) 647-8400;;;;;
3296;Oaklawn Psychiatric Center Inc;415 East Madison Street;South Bend, IN 46617;(574) 283-1234;;;;;
3297;VA Northern Indiana Healthcare System;South Bend CBOC;333 West Western Avenue;South Bend, IN 46601;(574) 299-4847;;;;
3298;Centerstone of Indiana Inc;Spencer Integrated Health;35 Bob Babbs Drive;Spencer, IN 47460;(812) 585-3775;Intake: (800) 344-8802;;;
3299;Hamilton Center Inc;Spencer Office;909 West Hillside Avenue;Spencer, IN 47460;(812) 829-0037x3;Intakes: (812) 829-0037 (800) 742-0787;;;
3300;Hamilton Center Inc;2134 Mary Sherman Drive;Sullivan, IN 47882;(812) 268-6376;Intakes: (812) 231-8200 (800) 742-0787;;;;
3301;Otis R Bowen Center for Human Services;Syracuse Outpatient Office;901 South Huntington Street;Syracuse, IN 46567;(574) 457-4400;Intake: (800) 342-5653;;;
3302;Southern Hills Counseling Center;1443 9th Street;Tell City, IN 47586;(812) 547-7905;;;;;
3303;Gibault Inc;6401 South U.S. Highway 41;Terre Haute, IN 47802;(812) 299-1156;Intake: (812) 298-3013;;;;
3304;Hamilton Center Inc;620 8th Avenue;Terre Haute, IN 47804;(812) 231-8323;Intakes: (812) 231-8350 (800) 742-0787;;;;
3305;Hamilton Center Inc;Child and Adolescent Services;500 8th Avenue;Terre Haute, IN 47804;(812) 231-8376;Intake: (800) 742-0787;;;
3306;Harsha Behavioral Center Inc;1420 East Crossing Boulevard;Terre Haute, IN 47802;(812) 298-8888;;;;;
3307;Terre Haute Regional Hospital;Behavioral Health Unit;3901 South 7th Street;Terre Haute, IN 47802;(812) 237-1470;Intake: (812) 237-1475;;;
3308;VA East Community Base OP Clinic;70 West Honey Creek Parkway;Terre Haute, IN 47802;(812) 232-8325;;;;;
3309;Centerstone of Indiana Inc;Union City Children and Family Servs;224 North Columbia Street;Union City, IN 47390;(765) 964-3142;Intake: (800) 344-8802;;;
3310;Midwest Center for Youth and Families;2301 Cumberland Drive;Valparaiso, IN 46383;(888) 629-3471x101;Intakes: (888) 629-3471 (219) 766-2999;;;;
3311;Porter Starke Services Inc;601 Wall Street;Valparaiso, IN 46383;(219) 531-3500;;;;;
3312;Porter Starke Services Inc;701 Wall Street;Valparaiso, IN 46383;(219) 531-3500;;;;;
3313;Community Mental Health Center Inc;1037 West Main Street;Vevay, IN 47043;(812) 427-2737;Intake: (812) 537-1302;;;;
3314;Switzerland County Counseling Center;1037 West Main Street;Vevay, IN 47043;(812) 537-1302;;;;;
3315;Good Samaritan Hospital;515 Bayou Street;Vincennes, IN 47591;(812) 886-6800;Intake: (800) 824-7907;;;;
3316;Good Samaritan Hospital;Samaritan Center;1901 Willow Street;Vincennes, IN 47591;(812) 886-6800;;;;
3317;Otis R Bowen Center for Human Services;Wabash Office;255 North Miami Street;Wabash, IN 46992;(260) 563-8446;Intake: (800) 342-5653;;;
3318;Otis R Bowen Center for Human Services;850 North Harrison Road;Warsaw, IN 46580;(574) 267-7169;Intake: (800) 342-5653;;;;
3319;Otis R Bowen Center for Human Services;Inpatient Unit;1535 Provident Drive;Warsaw, IN 46580;(574) 267-7169;;;;
3320;Otis R Bowen Center for Human Services;The Harbours;2216 North Pointe Drive;Warsaw, IN 46582;(574) 269-9660;Intakes: (574) 267-7169x3732 (800) 686-;6847;;
3321;Otis R Bowen Center for Human Services;Wilson/Castaldi Apartments;1303 Husky Trail;Apartment 125;Warsaw, IN 46582;(574) 269-7775;Intake: (800) 342-5653;;
3322;Daviess Community Hospital;1314 East Walnut Street;Washington, IN 47501;(812) 254-2760;Intakes: (812) 254-8854x2 (812) 254-8634;;;;
3323;Good Samaritan Hospital;Samaritan Center;2007 State Street;Washington, IN 47501;(812) 254-1558;Intake: (812) 886-6800;;;
3324;Community Mental Health Center;Saint Leon Office;28208 State Route 1;Suite 101;West Harrison, IN 47060;(812) 576-1600;Intake: (812) 537-1302;;
3325;Riverbend Hospital;2900 North River Road;West Lafayette, IN 47906;(765) 464-0400;Intake: (765) 463-2555;;;;
3326;Centerstone of Indiana Inc;Outpatient Office;325 South Oak Street;Suite 103;Winchester, IN 47394;(765) 584-1735;Intake: (800) 344-8802;;
3327;Community Health Center of Southern IA;12 Washington Avenue West;Albia, IA 52531;(641) 932-2065;;;;;
3328;Lutheran Services in Iowa Inc;1323 NW Avenue;Ames, IA 50010;(515) 232-7262;Intake: (515) 817-0921;;;;
3329;Richmond Center;1619 South High Avenue;Ames, IA 50010;(515) 232-5811;Intake: (866) 801-0085;;;;
3330;Cass County Memorial Hospital;Behavioral Health Unit;1501 East 10th Street;Atlantic, IA 50022;(712) 250-8865;Intake: (712) 243-7521;;;
3331;Southwest Iowa Mental Health Center;1500 East 10th Street;Atlantic, IA 50022;(712) 243-2606;;;;;
3332;Richmond Center;1332 South Marshall Street;Boone, IA 50036;(515) 433-0369;Intake: (866) 801-0085;;;;
3333;Counseling Services LLC;512 North Court Street;Carroll, IA 51401;(712) 662-3222;;;;;
3334;Plains Area Mental Health Center;318 South Maple Street;Suite 1;Carroll, IA 51401;(712) 792-2991;;;;
3335;Abbe Ctr for Community Mental Health;520 11th Street NW;Cedar Rapids, IA 52405;(319) 398-3562;;;;;
3336;Four Oaks Family and Childrens Servs;5400 Kirkwood Boulevard SW;Cedar Rapids, IA 52404;(319) 364-0259;;;;;
3337;Mercy Medical Center;Behavioral Health Unit;701 10th Street SE;Cedar Rapids, IA 52403;(319) 398-6011;Intakes: (319) 533-3540 (319) 398-6553;;;
3338;Saint Lukes Counseling Center;225 Coe Road NE;Cedar Rapids, IA 52402;(319) 369-7952;;;;;
3339;Saint Lukes Hospital;1030 5th Avenue SE;Suite 2000;Cedar Rapids, IA 52403;(319) 369-8176;;;;
3340;Saint Lukes Methodist Hospital;Childrens Specialty Services;4050 River Ridge Drive NE;Cedar Rapids, IA 52402;(319) 368-5587;Intake: (319) 369-8535;;;
3341;Tanager Place;2309 C Street SW;Cedar Rapids, IA 52404;(319) 365-9164;Intake: (319) 286-4545;;;;
3342;Unity Point Saint Lukes;Psychiatric Unit;1026 A Avenue NE;Cedar Rapids, IA 52402;(319) 369-7211;Intake: (319) 369-7190;;;
3343;Community Health Center of Southern IA;221 East State Street;Centerville, IA 52544;(641) 856-6471;;;;;
3344;Community Health Center of Southern IA;125 South Grand Street;Chariton, IA 50049;(641) 774-8484;Intake: (641) 856-6471;;;;
3345;Lucas Cnty Health Ctr Counseling Servs;1200 North 7th Street;Chariton, IA 50049;(641) 774-3370;;;;;
3346;Mental Health Institute;1251 West Cedar Loop;Cherokee, IA 51012;(712) 225-2594;Intake: (712) 225-6914;;;;
3347;Plains Area Mental Health Inc;1231 West Cedar Loop;Cherokee, IA 51012;(712) 225-2575;;;;;
3348;West Cedar Residential;1251 West Cedar Loop;P.O. Box 24;Cherokee, IA 51012;(712) 225-1687;Intake: (712) 546-6531x239;;;
3349;Waubonsie Mental Health Center;216 West Division Street;Clarinda, IA 51632;(712) 542-2388;Intake: (800) 432-1143;;;;
3350;Mercy Medical Center;Mercy Behavioral Health Services;1410 North 4th Street;Clinton, IA 52732;(563) 244-5555;;;;
3351;Community Health Center of Southern IA;204 South Franklin Street;Corydon, IA 50060;(641) 872-1750;;;;;
3352;CHI Health Mercy;Mercy McDermott;800 Mercy Drive;Council Bluffs, IA 51503;(402) 717-4674;Intake: (402) 717-4673;;;
3353;CHI Health Psychiatric Associates;Mercy;801 Harmony Street;Suite 302;Council Bluffs, IA 51503;(712) 328-2609;Intake: (402) 717-4673;;
3354;Christian Home Association;Childrens Square USA;North 6th Street and Avenue E;Council Bluffs, IA 51502;(712) 322-3700x5855;Intake: (712) 322-3700;;;
3355;Heartland Family Service;ACT Program;1515 Avenue J;Council Bluffs, IA 51501;(712) 435-5350;;;;
3356;Heartland Family Service;H Lee Gendler Center;515 East Broadway;Council Bluffs, IA 51503;(712) 322-1407;Intake: (402) 552-7400;;;
3357;Heartland Family Service;Therapeutic School;2912 9th Avenue;Council Bluffs, IA 51501;(712) 325-1331;;;;
3358;Jennie Edmundson Memorial Hospital;Behavioral Health;933 East Pierce Street;Council Bluffs, IA 51503;(712) 396-6044;;;;
3359;Northeast Iowa Mental Health Center;Howard County Public Health Office;112 North Elm Street;Cresco, IA 52136;(563) 382-3649;;;;
3360;Crossroads Behavioral Health Services;1003 Cottonwood Road;Creston, IA 50801;(641) 782-8457;;;;;
3361;Genesis Medical Center;West Central Park;1401 West Central Park Avenue;Davenport, IA 52804;(563) 421-2990;;;;
3362;Terrace Ridge;4626 Progress Drive;Suite D;Davenport, IA 52807;(563) 823-3460;;;;
3363;Vera French Community MH Center;1441 West Central Park Avenue;Davenport, IA 52804;(563) 383-1900;Intake: (563) 888-6236;;;;
3364;F36 F66;Vera French Community MH Center;Pine Knoll Healthcare Facility;2504 Telegraph Road;Davenport, IA 52804;(563) 322-6247;;;
3365;Northeast Iowa Behavioral Health;905 Montgomery Street;Decorah, IA 52101;(563) 382-3649;;;;;
3366;Northeast Iowa Behavioral Health;Outpatient Services;905 Montgomery Street;Decorah, IA 52101;(563) 382-3649;;;;
3367;Penn Center RCF;2237 245th Street;Delhi, IA 52223;(563) 922-2881;;;;;
3368;Plains Area Mental Health Center;20 North 14th Street;Denison, IA 51442;(712) 263-3172;;;;;
3369;Child Guidance Center;808 5th Avenue;Des Moines, IA 50309;(515) 244-2267;;;;;
3370;Eyerly Ball CMHC;Golden Circle Behavioral Health;945 19th Street;Des Moines, IA 50314;(515) 241-0982;;;;
3371;Iowa Lutheran Hospital;700 East University Avenue;Des Moines, IA 50316;(515) 263-5230;Intake: (515) 263-5249;;;;
3372;Mercy Medical Center;Mercy Behavioral Health;1111 6th Avenue;Des Moines, IA 50310;(515) 271-6111;;;;
3373;Mercy Medical Center;Mercy First Step;1750 48th Street;Suite 2;Des Moines, IA 50310;(515) 271-6075;Intake: (515) 271-6111;;
3374;Optimae Behavioral Health Services;Capitol One Center Building;600 East Court Avenue, Suite 200;Des Moines, IA 50309;(515) 243-3525;;;;
3375;Orchard Place;;;;;;;;
3376;620 8th Street;Des Moines, IA 50309;(515) 697-5700;;;;;;
3377;Orchard Place;925 Porter Avenue;Des Moines, IA 50315;(515) 285-6781;;;;;
3378;Visiting Nurse Services of Iowa;Strong Foundations;1111 9th Street;Suite 380;Des Moines, IA 50314;(515) 558-6251;;;
3379;Hillcrest Family Services;200 Mercy Drive;Dubuque, IA 52001;(563) 582-0145;;;;;
3380;Hillcrest Family Services;Asbury;2005 Ashbury Road;Dubuque, IA 52001;(563) 583-7357;;;;
3381;Mercy Medical Center Dubuque;Psychiatric Services;250 Mercy Drive;Dubuque, IA 52001;(563) 589-9299;;;;
3382;Northeast Iowa Mental Health Center;911 Carter Street NW;Elkader, IA 52043;(563) 382-3649;;;;;
3383;Hope Haven Inc;Emmetsburg;3726 450th Avenue;Emmetsburg, IA 50536;(712) 852-3101;;;;
3384;Seasons Center for Behavioral Health;Palo Alto County Office;717 Broadway Street;Emmetsburg, IA 50536;(800) 242-5101;;;;
3385;Seasons Center for Behavioral Health;Emmet County Office;826 North 8th Avenue;Estherville, IA 51334;(800) 242-5101;;;;
3386;Prairie View Management Inc;18569 Lane Road;Fayette, IA 52142;(563) 422-5606;Intakes: (563) 425-3291x112 (563) 422-;4606x112;;;
3387;Children and Families of Iowa;111 Avenue O West;Fort Dodge, IA 50501;(515) 573-2193;;;;;
3388;Hope Haven Inc;Fort Dodge Friendship Center;330 1st Avenue North;Suite L-2;Fort Dodge, IA 50501;(515) 302-8554;;;
3389;Unity Point Health/Berryhill Center;720 Kenyon Road;Fort Dodge, IA 50501;(800) 482-8305x221;Intakes: (515) 955-7171 (800) 482-8305;;;;
3390;Grinnell Regional Medical Center;210 Fourth Avenue;Grinnell, IA 50112;(641) 236-2347;;;;;
3391;Plains Area Mental Health Center;700 East 2nd Street;Suite 2;Ida Grove, IA 51445;(712) 364-3500;;;;
3392;Abbe Center for Comm Mental Health;211 2nd Avenue NE;Suite 8;Independence, IA 50644;(319) 334-4010;;;;
3393;Hope Haven Inc;Independence;409 10th Street NE;Independence, IA 50644;(319) 334-3003;;;;
3394;Mental Health Institute;2277 Iowa Avenue;Independence, IA 50644;(319) 334-2583;;;;;
3395;Chatham Oaks;4515 Melrose Avenue;Iowa City, IA 52246;(319) 887-2701;;;;;
3396;Mercy Hospital;500 East Market Street;Iowa City, IA 52245;(319) 339-0300;;;;;
3397;University of Iowa Hospitals/Clinics;UI Behavioral Health;200 Hawkins Drive;Iowa City, IA 52242;(319) 356-1616;Intakes: (319) 353-6952 (319) 353-6314;;;
3398;Youth Homes of Mid America;7225 NW 58th Street;Johnston, IA 50131;(515) 276-3473;;;;;
3399;Counseling Associates;1522 Morgan Street;Keokuk, IA 52632;(319) 524-0510;Intake: (319) 372-7689;;;;
3400;Crossroads Behavioral Health Services;531 West Main Street;Lamoni, IA 50140;(641) 782-8457;;;;;
